# Nyra comparison — runtime + memory benchmark
# Generated: 2026-07-01T14:14:09Z
# Runs per command: 5 (warmup 1 discarded); micro=9 concurrency=11
# Time: median wall clock in milliseconds (lower is better)
# Nyra parity: Zero/Explicit measured interleaved per suite (same OS/thermal window)
# Parity summary excludes startup-dominated suites (hello, arithmetic) — see HTML report
# Memory: peak max RSS in KB during timed runs (lower is better)
# Binary size: hello-world release / stripped / UPX (see binary-size.tsv)
# Platform: Darwin arm64
# Nyra build: release; cpu_bound_pgo=release+pgo; Nyra flags: --no-prelude (single-file suites), prelude (multi-file/struct_sum), -march=native
# Isolation: Nyra variants per suite (interleaved pairs); other langs isolated (BENCH_LANG_COOLDOWN=2s)
# Compiled langs: -O3 -flto=thin (Nyra --release, clang/clang++/rustc aligned)
# Note: Nyra/C/C++/Go/Rust/Java = compiled; Node/Python = runtime interpreters


Nyra appears twice:

  • Nyra (Zero Types)
  • Nyra (Explicit Types)

Both generate native code. Zero/Explicit pairs are measured interleaved per suite
(median wall time) so OS startup noise does not skew the comparison.

The hot-path parity table (HTML) excludes hello/arithmetic where process spawn
dominates and LLVM output is identical — see full matrix for all suites.

| Suite        | Language               | Time (ms) | Memory     |
   cpu_bound_pgo                     1.06 MB                1.06 MB         0%

========================================================================
FULL COMPARISON MATRIX — time + peak memory per cell
========================================================================

   Benchmark                 Nyra-Z      Nyra-TNyra (ComptiNyra (Compti           C         C++          Go        Rust
   --------------------------------------------------------------------------------------------------------------------
   hello                      1.82       1.80 *           —           —      3.78 †       2.91        4.60        3.72 
                            1.06 MB     1.06 MB                             1.03 MB     1.05 MB     3.56 MB     1.19 MB
   (Minimal stdout I/O)

   arithmetic                1.70 *      1.76 †           —           —      2.34 †       3.73        3.64        3.65 
                            1.03 MB     1.03 MB                             1.03 MB     1.06 MB     3.52 MB     1.25 MB
   (Two integer adds)

   loop                  1,413.60 †  1,412.82 †           —           —  1,295.72 †  1,295.69 *   1,297.79    1,552.00 
                            1.03 MB     1.03 MB                             1.03 MB     1.06 MB     3.59 MB     1.25 MB
   (Modular sum 0..N-1 (N=375M, mod 1e9+7))

   fib                   1,412.34 †  1,412.88 †           —           —  1,294.85 †  1,294.53 *   1,296.07    1,549.73 
                            1.03 MB     1.03 MB                             1.03 MB     1.06 MB     3.42 MB     1.25 MB
   (Fibonacci swaps (375M steps, mod 1e9+7))

   nested                   52.20 †     52.03 *           —           —     57.95 †      57.37       58.91       71.27 
                            1.03 MB     1.03 MB                             1.03 MB     1.06 MB     3.55 MB     1.25 MB
   (2D nested loop (4000×4000, mod 1e9+7))

   struct_sum                 2.96       2.86 *           —           —      3.25 †       3.92       28.12        3.88 
                            1.38 MB     1.38 MB                             1.03 MB     1.09 MB     3.59 MB     1.22 MB
   (Struct field access hot loop (80M))

   dungeon                    2.82        2.89            —           —      2.07 *       3.78        5.17        4.10 
                            1.38 MB     1.38 MB                             1.03 MB     1.06 MB     3.52 MB     1.19 MB
   (Multi-file Dungeon Steps app)

   cpu_bound               808.65 †    808.79 †           —           —    474.48 *     474.61      581.87      878.16 
                            1.03 MB     1.03 MB                             1.05 MB     1.06 MB     3.59 MB     1.25 MB
   (Mod mul-add chain (180M, mod 997))

   mix                   1,832.04 †  1,832.45 †           —           —  1,791.50 *   1,791.78    1,795.44    1,986.92 
                            1.03 MB     1.03 MB                             1.03 MB     1.06 MB     3.45 MB     1.25 MB
   (Chained mod mix (270M, mod 1e9+7))

   loop_nofold           1,412.20 †  1,412.30 †           —           —  1,294.48 *   1,294.90    1,296.43    1,546.40 
                            1.03 MB     1.03 MB                             1.05 MB     1.06 MB     3.66 MB     1.25 MB
   (Modular sum anti-constant-fold (N=375M))

   comptime_table            3.64 †      3.62 †      1.80 †      1.79 *      6.59 †       6.95        8.40        4.97 
                            1.03 MB     1.03 MB     1.03 MB     1.03 MB     1.03 MB     1.09 MB     3.61 MB     1.19 MB
   (Lookup table build (64×8k mix) + sum — Nyra-comptime folds all at compile time)

   memory_alloc_struct       12.54       12.36            —           —      7.05 †           —       8.62       5.07 *
                            1.44 MB     1.44 MB                             1.03 MB                 3.56 MB     1.25 MB
   (malloc/free struct nodes (500k default, BENCH_SCALE))

   memory_free_struct        11.39       11.00            —           —      4.58 *           —       5.44            —
                            1.06 MB     1.06 MB                             1.03 MB                 3.52 MB            
   (alloc+free 16 B blocks)

   memory_arena              6.92 †      6.42 †           —           —      4.45 *           —       6.14            —
                            1.03 MB     1.03 MB                             1.03 MB                 3.52 MB            
   (bump arena simulation)

   memory_ownership           7.29        6.84            —           —      6.06 *           —       8.26            —
                            1.38 MB     1.38 MB                             1.03 MB                 3.55 MB            
   (struct pass-by-value hot loop)

   strings_concat          271.50 †    271.30 *           —           —           —           —     299.40            —
                            2.83 MB     2.83 MB                                                    16.95 MB            
   (strcat chain)

   strings_substring         6.49 †      6.06 *           —           —           —           —           —           —
                            2.61 MB     2.61 MB                                                                        
   (substring slices)

   strings_replace           8.97 †      8.15 *           —           —           —           —           —           —
                            1.08 MB     1.08 MB                                                                        
   (str_replace)

   strings_split             6.97 †      5.76 *           —           —           —           —           —           —
                            2.66 MB     2.66 MB                                                                        
   (strstr + substring split)

   strings_utf8              9.47 †      8.89 *           —           —           —           —           —           —
                            1.05 MB     1.05 MB                                                                        
   (UTF-8 byte iterate (char_at))

   collections_hashmap       35.18       35.09            —           —           —           —      5.52 *           —
                            8.50 MB     8.50 MB                                                     3.83 MB            
   (HashMap insert/get (string keys))

   collections_hashset      34.95 *     35.07 †           —           —           —           —           —           —
